SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,CORDS_TO_GREEN_TONS,MBF_TO_GREEN_TONS,DRYWT_TO_GREENWT_CONVERSION
10,ABIES,fir spp.,Abies,spp.,NA,NA,2.05,4.1,1.81
11,ABAM,Pacific silver fir,Abies,amabilis,NA,NA,2.17,4.34,1.69
12,ABBA,balsam fir,Abies,balsamea,NA,NA,2.25,4.5,2.16
14,ABBR,Santa Lucia or bristlecone fir,Abies,bracteata,NA,NA,2.05,4.1,1.81
15,ABCO,white fir,Abies,concolor,NA,NA,2.32,4.64,1.97
16,ABFR,Fraser fir,Abies,fraseri,NA,NA,2.05,4.1,1.81
17,ABGR,grand fir,Abies,grandis,NA,NA,2.22,4.44,1.99
18,ABLAA,corkbark fir,Abies,lasiocarpa,arizonica,NA,2.05,4.1,1.81
19,ABLA,subalpine fir,Abies,lasiocarpa,NA,NA,1.41,2.82,1.48
20,ABMA,California red fir,Abies,magnifica,NA,NA,2.29,4.58,2.03
21,ABSH,Shasta red fir,Abies,shastensis,NA,NA,2.05,4.1,1.81
22,ABPR,noble fir,Abies,procera,NA,NA,1.53,3.06,1.34
40,CHAMA4,white-cedar spp.,Chamaecyparis,spp.,NA,NA,2.07,4.14,1.79
41,CHLA,Port-Orford-cedar,Chamaecyparis,lawsoniana,NA,NA,2.12,4.24,1.73
42,CHNO,Alaska yellow-cedar,Chamaecyparis,nootkatensis,NA,NA,2.32,4.64,1.76
43,CHTH2,Atlantic white-cedar,Chamaecyparis,thyoides,NA,NA,1.82,3.64,1.88
50,CUPRE,cypress,Cupressus,spp.,NA,NA,2.29,4.58,1.74
51,CUAR,Arizona cypress,Cupressus,arizonica,NA,NA,2.29,4.58,1.74
52,CUBA,Baker or Modoc cypress,Cupressus,bakeri,NA,NA,2.29,4.58,1.74
53,CUFO2,Tecate cypress,Cupressus,forbesii,NA,NA,2.29,4.58,1.74
54,CUMA2,Monterey cypress,Cupressus,macrocarpa,NA,NA,2.29,4.58,1.74
55,CUSA3,Sargent's cypress,Cupressus,sargentii,NA,NA,2.29,4.58,1.74
56,CUMA,MacNab's cypress,Cupressus,macnabiana,NA,NA,2.29,4.58,1.74
57,JUNIP,redcedar/juniper spp.,Juniperus,spp.,NA,NA,1.97,3.94,1.39
58,JUPI,Pinchot juniper,Juniperus,pinchotii,NA,NA,1.97,3.94,1.39
59,JUCO11,redberry juniper,Juniperus,coahuilensis,NA,NA,1.97,3.94,1.39
60,JUFL,Drooping juniper,Juniperus,flaccida,NA,NA,1.97,3.94,1.39
61,JUAS,Ashe juniper,Juniperus,ashei,NA,NA,1.97,3.94,1.39
62,JUCA7,California juniper,Juniperus,californica,NA,NA,1.97,3.94,1.39
63,JUDE2,alligator juniper,Juniperus,deppeana,NA,NA,2.06,4.12,1.36
64,JUOC,western juniper,Juniperus,occidentalis,NA,NA,1.97,3.94,1.39
65,JUOS,Utah juniper,Juniperus,osteosperma,NA,NA,2.95,5.9,1.37
66,JUSC2,Rocky Mountain juniper,Juniperus,scopulorum,NA,NA,1.97,3.94,1.39
67,JUVIS,southern redcedar,Juniperus,virginiana,silicicola,NA,1.89,3.78,1.43
68,JUVI,eastern redcedar,Juniperus,virginiana,NA,NA,1.9,3.8,1.37
69,JUMO,oneseed juniper,Juniperus,monosperma,NA,NA,1.97,3.94,1.39
70,LARIX,larch spp.,Larix,spp.,NA,NA,2.51,5.02,1.59
71,LALA,tamarack,Larix,laricina,NA,NA,2.5,5,1.57
72,LALY,subalpine larch,Larix,lyallii,NA,NA,2.51,5.02,1.59
73,LAOC,western larch,Larix,occidentalis,NA,NA,2.47,4.94,1.61
81,CADE27,incense-cedar,Calocedrus,decurrens,NA,NA,2.24,4.48,1.98
90,PICEA,spruce spp.,Picea,spp.,NA,NA,1.84,3.68,1.62
91,PIAB,Norway spruce,Picea,abies,NA,NA,1.84,3.68,1.62
92,PIBR,Brewer spruce,Picea,breweriana,NA,NA,1.84,3.68,1.62
93,PIEN,Engelmann spruce,Picea,engelmannii,NA,NA,1.94,3.88,1.88
94,PIGL,white spruce,Picea,glauca,NA,NA,1.81,3.62,1.55
95,PIMA,black spruce,Picea,mariana,NA,NA,1.84,3.68,1.53
96,PIPU,blue spruce,Picea,pungens,NA,NA,1.84,3.68,1.62
97,PIRU,red spruce,Picea,rubens,NA,NA,1.77,3.54,1.5
98,PISI,Sitka spruce,Picea,sitchensis,NA,NA,1.69,3.38,1.64
100,PINUS,pine spp.,Pinus,spp.,NA,NA,2.46,4.92,1.75
101,PIAL,whitebark pine,Pinus,albicaulis,NA,NA,2.46,4.92,1.75
102,PIAR,Rocky Mountain bristlecone pine,Pinus,aristata,NA,NA,2.46,4.92,1.75
103,PIAT,knobcone pine,Pinus,attenuata,NA,NA,2.47,4.94,2.02
104,PIBA,foxtail pine,Pinus,balfouriana,NA,NA,2.46,4.92,1.75
105,PIBA2,jack pine,Pinus,banksiana,NA,NA,2.55,5.1,1.99
106,PIED,common or two-needle pinyon,Pinus,edulis,NA,NA,2.1,4.2,1.31
107,PICL,sand pine,Pinus,clausa,NA,NA,2.08,4.16,1.4
108,PICO,lodgepole pine,Pinus,contorta,NA,NA,1.91,3.82,1.64
109,PICO3,Coulter pine,Pinus,coulteri,NA,NA,2.46,4.92,1.75
110,PIEC2,shortleaf pine,Pinus,echinata,NA,NA,2.68,5.36,1.75
111,PIEL,slash pine,Pinus,elliottii,NA,NA,3.12,6.24,1.74
112,PIEN2,Apache pine,Pinus,engelmannii,NA,NA,2.46,4.92,1.75
113,PIFL2,limber pine,Pinus,flexilis,NA,NA,2.18,4.36,1.82
114,PIST3,southwestern white pine,Pinus,strobiformis,NA,NA,2.46,4.92,1.75
115,PIGL2,spruce pine,Pinus,glabra,NA,NA,2.22,4.44,1.69
116,PIJE,Jeffrey pine,Pinus,jeffreyi,NA,NA,2.47,4.94,1.9
117,PILA,sugar pine,Pinus,lambertiana,NA,NA,2.66,5.32,2.21
118,PILE,Chihuahuan pine,Pinus,leiophylla,NA,NA,2.46,4.92,1.75
119,PIMO3,western white pine,Pinus,monticola,NA,NA,1.81,3.62,1.6
120,PIMU,bishop pine,Pinus,muricata,NA,NA,2.42,4.84,1.57
121,PIPA2,longleaf pine,Pinus,palustris,NA,NA,2.88,5.76,1.66
122,PIPO,ponderosa pine,Pinus,ponderosa,NA,NA,2.39,4.78,1.79
123,PIPU5,Table Mountain pine,Pinus,pungens,NA,NA,2.73,5.46,1.75
124,PIRA2,Monterey pine,Pinus,radiata,NA,NA,2.49,4.98,1.95
125,PIRE,red pine,Pinus,resinosa,NA,NA,2.24,4.48,1.67
126,PIRI,pitch pine,Pinus,rigida,NA,NA,2.58,5.16,1.72
127,PISA2,gray or California foothill pine,Pinus,sabiniana,NA,NA,2.42,4.84,1.77
128,PISE,pond pine,Pinus,serotina,NA,NA,2.67,5.34,1.63
129,PIST,eastern white pine,Pinus,strobus,NA,NA,1.84,3.68,1.66
130,PISY,Scotch pine,Pinus,sylvestris,NA,NA,2.46,4.92,1.75
131,PITA,loblolly pine,Pinus,taeda,NA,NA,2.82,5.64,1.83
132,PIVI2,Virginia pine,Pinus,virginiana,NA,NA,2.57,5.14,1.8
133,PIMO,singleleaf pinyon,Pinus,monophylla,NA,NA,2.46,4.92,1.75
134,PIDI3,border pinyon,Pinus,discolor,NA,NA,2.46,4.92,1.75
135,PIAR5,Arizona pine,Pinus,arizonica,NA,NA,2.46,4.92,1.75
136,PINI,Austrian pine,Pinus,nigra,NA,NA,2.46,4.92,1.75
137,PIWA,Washoe pine,Pinus,washoensis,NA,NA,2.46,4.92,1.75
138,PIQU,four-leaf or Parry pinyon pine,Pinus,quadrifolia,NA,NA,2.46,4.92,1.75
139,PITO,Torrey pine,Pinus,torreyana,NA,NA,2.46,4.92,1.75
140,PICE,Mexican pinyon pine,Pinus,cembroides,NA,NA,2.46,4.92,1.75
141,PIRE5,papershell pinyon pine,Pinus,remota,NA,NA,2.46,4.92,1.75
142,PILO,Great Basin bristlecone pine,Pinus,longaeva,NA,NA,2.46,4.92,1.75
143,PIMOF,Arizona pinyon pine,Pinus,monophylla,fallax,NA,2.46,4.92,1.75
144,PIELE2,Honduras pine,Pinus,elliottii,elliottii,NA,2.46,4.92,1.75
200,PSEUD7,Douglas-fir spp.,Pseudotsuga,spp.,NA,NA,2.12,4.24,1.43
201,PSMA,bigcone Douglas-fir,Pseudotsuga,macrocarpa,NA,NA,2.12,4.24,1.43
202,PSME,Douglas-fir,Pseudotsuga,menziesii,NA,NA,2.13,4.26,1.43
211,SESE3,redwood,Sequoia,sempervirens,NA,NA,2.46,4.92,2.04
212,SEGI2,giant sequoia,Sequoiadendron,giganteum,NA,NA,2.86,5.72,2.54
220,TAXOD,baldcypress spp.,Taxodium,spp.,NA,NA,2.77,5.54,1.96
221,TADI2,baldcypress,Taxodium,distichum,NA,NA,2.76,5.52,1.95
222,TAAS,pondcypress,Taxodium,ascendens,NA,NA,2.77,5.54,1.96
223,TAMU,Montezuma baldcypress,Taxodium,mucronatum,NA,NA,2.77,5.54,1.96
230,TAXUS,yew spp.,Taxus,spp.,NA,NA,2.61,5.22,1.49
231,TABR2,Pacific yew,Taxus,brevifolia,NA,NA,2.61,5.22,1.49
232,TAFL,Florida yew,Taxus,floridana,NA,NA,2.61,5.22,1.49
240,THUJA,thuja spp.,Thuja,spp.,NA,NA,1.61,3.22,1.7
241,THOC2,northern white-cedar,Thuja,occidentalis,NA,NA,1.84,3.68,1.98
242,THPL,western redcedar,Thuja,plicata,NA,NA,1.36,2.72,1.41
250,TORRE,torreya (nutmeg) spp.,Torreya,spp.,NA,NA,2.29,4.58,1.74
251,TOCA,California torreya (nutmeg),Torreya,californica,NA,NA,2.29,4.58,1.74
252,TOTA,Florida torreya (nutmeg),Torreya,taxifolia,NA,NA,2.29,4.58,1.74
260,TSUGA,hemlock spp.,Tsuga,spp.,NA,NA,2.42,4.84,1.81
261,TSCA,eastern hemlock,Tsuga,canadensis,NA,NA,2.61,5.22,2.09
262,TSCA2,Carolina hemlock,Tsuga,caroliniana,NA,NA,2.42,4.84,1.81
263,TSHE,western hemlock,Tsuga,heterophylla,NA,NA,2.22,4.44,1.64
264,TSME,mountain hemlock,Tsuga,mertensiana,NA,NA,2.34,4.68,1.71
299,2TE,unknown dead conifer,Tree,evergreen,NA,NA,2.29,4.58,1.74
300,ACACI,acacia spp.,Acacia,spp.,NA,NA,2.96,5.92,2
303,ACFA,sweet acacia,Acacia,farnesiana,NA,NA,2.96,5.92,1.76
304,ACGR,catclaw acacia,Acacia,greggii,NA,NA,2.96,5.92,1.76
310,ACER,maple spp.,Acer,spp.,NA,NA,2.52,5.04,1.73
311,ACBA3,Florida maple,Acer,barbatum,NA,NA,2.52,5.04,1.73
312,ACMA3,bigleaf maple,Acer,macrophyllum,NA,NA,2.38,4.76,1.75
313,ACNE2,boxelder,Acer,negundo,NA,NA,2.45,4.9,1.91
314,ACNI5,black maple,Acer,nigrum,NA,NA,2.91,5.82,1.72
315,ACPE,striped maple,Acer,pensylvanicum,NA,NA,2.32,4.64,1.73
316,ACRU,red maple,Acer,rubrum,NA,NA,2.46,4.92,1.65
317,ACSA2,silver maple,Acer,saccharinum,NA,NA,2.26,4.52,1.69
318,ACSA3,sugar maple,Acer,saccharum,NA,NA,2.94,5.88,1.62
319,ACSP2,mountain maple,Acer,spicatum,NA,NA,2.52,5.04,1.73
320,ACPL,Norway maple,Acer,platanoides,NA,NA,2.52,5.04,1.73
321,ACGL,Rocky Mountain maple,Acer,glabrum,NA,NA,2.52,5.04,1.73
322,ACGR3,bigtooth maple,Acer,grandidentatum,NA,NA,2.52,5.04,1.73
323,ACLE,chalk maple,Acer,leucoderme,NA,NA,2.52,5.04,1.73
330,AESCU,"buckeye, horsechestnut spp.",Aesculus,spp.,NA,NA,2.52,5.04,2.33
331,AEGL,Ohio buckeye,Aesculus,glabra,NA,NA,2.52,5.04,2.33
332,AEFL,yellow buckeye,Aesculus,flava,NA,NA,2.51,5.02,2.33
333,AECA,California buckeye,Aesculus,californica,NA,NA,2.52,5.04,2.33
334,AEGLA,Texas buckeye,Aesculus,glabra,arguta,NA,2.52,5.04,2.33
336,AEPA,red buckeye,Aesculus,pavia,NA,NA,2.52,5.04,2.33
337,AESY,painted buckeye,Aesculus,sylvatica,NA,NA,2.52,5.04,2.33
341,AIAL,ailanthus,Ailanthus,altissima,NA,NA,2.6,5.2,1.75
345,ALJU,"mimosa, silktree",Albizia,julibrissin,NA,NA,2.96,5.92,1.76
350,ALNUS,alder spp.,Alnus,spp.,NA,NA,2.28,4.56,1.95
351,ALRU2,red alder,Alnus,rubra,NA,NA,2.29,4.58,1.95
352,ALRH2,white alder,Alnus,rhombifolia,NA,NA,2.28,4.56,1.95
353,ALOB2,Arizona alder,Alnus,oblongifolia,NA,NA,2.28,4.56,1.95
355,ALGL2,European alder,Alnus,glutinosa,NA,NA,2.28,4.56,1.95
356,AMELA,serviceberry spp.,Amelanchier,spp.,NA,NA,3,6,1.49
357,AMAR3,common serviceberry,Amelanchier,arborea,NA,NA,3,6,1.49
358,AMSA,roundleaf serviceberry,Amelanchier,sanguinea,NA,NA,3,6,1.49
360,ARBUT,madrone spp.,Arbutus,spp.,NA,NA,3.1,6.2,1.65
361,ARME,Pacific madrone,Arbutus,menziesii,NA,NA,3.09,6.18,1.65
362,ARAR2,Arizona madrone,Arbutus,arizonica,NA,NA,3.1,6.2,1.65
363,ARXA80,Texas madrone,Arbutus,xalapensis,NA,NA,3.1,6.2,1.65
367,ASTR,pawpaw,Asimina,triloba,NA,NA,2.96,5.92,1.76
370,BETUL,birch spp.,Betula,spp.,NA,NA,2.73,5.46,1.72
371,BEAL2,yellow birch,Betula,alleghaniensis,NA,NA,2.9,5.8,1.71
372,BELE,sweet birch,Betula,lenta,NA,NA,3.17,6.34,1.71
373,BENI,river birch,Betula,nigra,NA,NA,2.76,5.52,1.82
374,BEOC2,water birch,Betula,occidentalis,NA,NA,2.73,5.46,1.72
375,BEPA,paper birch,Betula,papyrifera,NA,NA,2.6,5.2,1.71
376,BENE4,resin birch,Betula,neoalaskana,NA,NA,2.6,5.2,1.71
377,BEUB,Virginia roundleaf birch,Betula,uber,NA,NA,2.73,5.46,1.72
378,BEUT,northwestern paper birch,Betula,x utahensis,NA,NA,2.73,5.46,1.72
379,BEPO,gray birch,Betula,populifolia,NA,NA,2.33,4.66,1.64
381,SILAL3,"chittamwood, gum bumelia",Sideroxylon,lanuginosum,NA,lanuginosum,2.96,5.92,1.76
391,CACA18,"American hornbeam, musclewood",Carpinus,caroliniana,NA,NA,2.65,5.3,1.5
400,CARYA,hickory spp.,Carya,spp.,NA,NA,3.38,6.76,1.67
401,CAAQ2,water hickory,Carya,aquatica,NA,NA,3.59,7.18,1.81
402,CACO15,bitternut hickory,Carya,cordiformis,NA,NA,3.31,6.62,1.69
403,CAGL8,pignut hickory,Carya,glabra,NA,NA,3.54,7.08,1.64
404,CAIL2,pecan,Carya,illinoinensis,NA,NA,3.22,6.44,1.65
405,CALA21,shellbark hickory,Carya,laciniosa,NA,NA,3.33,6.66,1.65
406,CAMY,nutmeg hickory,Carya,myristiciformis,NA,NA,3.19,6.38,1.75
407,CAOV2,shagbark hickory,Carya,ovata,NA,NA,3.27,6.54,1.56
408,CATE9,black hickory,Carya,texana,NA,NA,3.38,6.76,1.67
409,CAAL27,mockernut hickory,Carya,alba,NA,NA,3.39,6.78,1.62
410,CAPA24,sand hickory,Carya,pallida,NA,NA,3.38,6.76,1.67
411,CAFL6,scrub hickory,Carya,floridana,NA,NA,3.38,6.76,1.67
412,CAOV3,red hickory,Carya,ovalis,NA,NA,3.38,6.76,1.67
413,CACA38,southern shagbark hickory,Carya,carolinae-septentrionalis,NA,NA,3.38,6.76,1.67
420,CASTA,chestnut spp.,Castanea,spp.,NA,NA,2.79,5.58,2.15
421,CADE12,American chestnut,Castanea,dentata,NA,NA,2.79,5.58,2.15
422,CAPU9,Allegheny chinkapin,Castanea,pumila,NA,NA,2.79,5.58,2.15
423,CAPUO,Ozark chinkapin,Castanea,pumila,ozarkensis,NA,2.79,5.58,2.15
424,CAMO83,Chinese chestnut,Castanea,mollissima,NA,NA,2.79,5.58,2.15
431,CHCHC4,"giant chinkapin, golden chinkapin",Chrysolepis,chrysophylla,chrysophylla,NA,3.02,6.04,2.28
450,CATAL,catalpa spp.,Catalpa,spp.,NA,NA,2.15,4.3,1.76
451,CABI8,southern catalpa,Catalpa,bignonioides,NA,NA,2.15,4.3,1.76
452,CASP8,northern catalpa,Catalpa,speciosa,NA,NA,2.15,4.3,1.76
460,CELTI,hackberry spp.,Celtis,spp.,NA,NA,2.65,5.3,1.67
461,CELA,sugarberry,Celtis,laevigata,NA,NA,2.65,5.3,1.67
462,CEOC,hackberry,Celtis,occidentalis,NA,NA,2.64,5.28,1.67
463,CELAR,netleaf hackberry,Celtis,laevigata,reticulata,NA,2.65,5.3,1.67
471,CECA4,eastern redbud,Cercis,canadensis,NA,NA,2.96,5.92,1.76
475,CELE3,curlleaf mountain-mahogany,Cercocarpus,ledifolius,NA,NA,2.96,5.92,1.76
481,CLKE,yellowwood,Cladrastis,kentukea,NA,NA,2.96,5.92,1.76
490,CORNU,dogwood spp.,Cornus,spp.,NA,NA,2.88,5.76,1.46
491,COFL2,flowering dogwood,Cornus,florida,NA,NA,2.9,5.8,1.4
492,CONU4,Pacific dogwood,Cornus,nuttallii,NA,NA,2.85,5.7,1.52
500,CRATA,hawthorn spp.,Crataegus,spp.,NA,NA,2.96,5.92,1.76
501,CRCR2,cockspur hawthorn,Crataegus,crus-galli,NA,NA,2.96,5.92,1.76
502,CRMO2,downy hawthorn,Crataegus,mollis,NA,NA,2.96,5.92,1.76
503,CRBR3,Brainerd's hawthorn,Crataegus,brainerdii,NA,NA,2.96,5.92,1.76
504,CRCA,pear hawthorn,Crataegus,calpodendron,NA,NA,2.96,5.92,1.76
505,CRCH,fireberry hawthorn,Crataegus,chrysocarpa,NA,NA,2.96,5.92,1.76
506,CRDI,broadleaf hawthorn,Crataegus,dilatata,NA,NA,2.96,5.92,1.76
507,CRFL,fanleaf hawthorn,Crataegus,flabellata,NA,NA,2.96,5.92,1.76
508,CRMO3,oneseed hawthorn,Crataegus,monogyna,NA,NA,2.96,5.92,1.76
509,CRPE,scarlet hawthorn,Crataegus,pedicellata,NA,NA,2.96,5.92,1.76
510,EUCAL,eucalyptus spp.,Eucalyptus,spp.,NA,NA,2.96,5.92,1.76
511,EUGL,Tasmanian bluegum,Eucalyptus,globulus,NA,NA,2.96,5.92,1.76
512,EUCA2,river redgum,Eucalyptus,camaldulensis,NA,NA,2.96,5.92,1.76
513,EUGR12,grand eucalyptus,Eucalyptus,grandis,NA,NA,2.96,5.92,1.76
514,EURO2,swampmahogany,Eucalyptus,robusta,NA,NA,2.96,5.92,1.76
520,DIOSP,persimmon spp.,Diospyros,spp.,NA,NA,3.35,6.7,1.61
521,DIVI5,common persimmon,Diospyros,virginiana,NA,NA,3.35,6.7,1.61
522,DITE3,Texas persimmon,Diospyros,texana,NA,NA,3.35,6.7,2
523,EHAN,Anacua knockaway,Ehretia,anacua,NA,NA,2.96,5.92,1.76
531,FAGR,American beech,Fagus,grandifolia,NA,NA,2.61,5.22,1.57
540,FRAXI,ash spp.,Fraxinus,spp.,NA,NA,2.73,5.46,1.64
541,FRAM2,white ash,Fraxinus,americana,NA,NA,2.72,5.44,1.51
542,FRLA,Oregon ash,Fraxinus,latifolia,NA,NA,2.68,5.36,1.64
543,FRNI,black ash,Fraxinus,nigra,NA,NA,2.73,5.46,1.86
544,FRPE,green ash,Fraxinus,pennsylvanica,NA,NA,2.75,5.5,1.59
545,FRPR,pumpkin ash,Fraxinus,profunda,NA,NA,2.66,5.32,1.7
546,FRQU,blue ash,Fraxinus,quadrangulata,NA,NA,2.7,5.4,1.55
547,FRVE2,velvet ash,Fraxinus,velutina,NA,NA,2.73,5.46,1.64
548,FRCA3,Carolina ash,Fraxinus,caroliniana,NA,NA,2.73,5.46,1.64
549,FRTE,Texas ash,Fraxinus,texensis,NA,NA,2.73,5.46,1.64
550,GLEDI,honeylocust spp.,Gleditsia,spp.,NA,NA,3.17,6.34,1.63
551,GLAQ,waterlocust,Gleditsia,aquatica,NA,NA,3.17,6.34,1.63
552,GLTR,honeylocust,Gleditsia,triacanthos,NA,NA,3.18,6.36,1.63
555,GOLA,loblolly-bay,Gordonia,lasianthus,NA,NA,2.96,5.92,1.76
561,GIBI2,"ginkgo, maidenhair tree",Ginkgo,biloba,NA,NA,2.96,5.92,1.76
571,GYDI,Kentucky coffeetree,Gymnocladus,dioicus,NA,NA,2.61,5.22,1.52
580,HALES,silverbell spp.,Halesia,spp.,NA,NA,2.32,4.64,1.71
581,HACA3,Carolina silverbell,Halesia,carolina,NA,NA,2.32,4.64,1.71
582,HADI3,two-wing silverbell,Halesia,diptera,NA,NA,2.32,4.64,1.71
583,HAPA2,little silverbell,Halesia,parviflora,NA,NA,2.32,4.64,1.71
591,ILOP,American holly,Ilex,opaca,NA,NA,2.96,5.92,1.84
600,JUGLA,walnut spp.,Juglans,spp.,NA,NA,2.72,5.44,1.92
601,JUCI,butternut,Juglans,cinerea,NA,NA,2.36,4.72,2.02
602,JUNI,black walnut,Juglans,nigra,NA,NA,2.97,5.94,1.8
603,JUHI,northern California black walnut,Juglans,hindsii,NA,NA,2.72,5.44,1.92
604,JUCA,southern California black walnut,Juglans,californica,NA,NA,2.72,5.44,1.92
605,JUMI,Texas walnut,Juglans,microcarpa,NA,NA,2.72,5.44,1.92
606,JUMA,Arizona walnut,Juglans,major,NA,NA,2.72,5.44,1.92
611,LIST2,sweetgum,Liquidambar,styraciflua,NA,NA,2.62,5.24,1.76
621,LITU,yellow-poplar,Liriodendron,tulipifera,NA,NA,2.64,5.28,1.99
631,LIDE3,tanoak,Lithocarpus,densiflorus,NA,NA,3.42,6.84,1.76
641,MAPO,Osage-orange,Maclura,pomifera,NA,NA,3.3,6.6,1.34
650,MAGNO,magnolia spp.,Magnolia,spp.,NA,NA,2.67,5.34,1.92
651,MAAC,cucumbertree,Magnolia,acuminata,NA,NA,2.56,5.12,1.8
652,MAGR4,southern magnolia,Magnolia,grandiflora,NA,NA,3.02,6.04,2.04
653,MAVI2,sweetbay,Magnolia,virginiana,NA,NA,2.57,5.14,1.89
654,MAMA2,bigleaf magnolia,Magnolia,macrophylla,NA,NA,2.67,5.34,1.92
655,MAFR,mountain or Fraser magnolia,Magnolia,fraseri,NA,NA,2.53,5.06,1.95
657,MAPY,pyramid magnolia,Magnolia,pyramidata,NA,NA,2.67,5.34,1.92
658,MATR,umbrella magnolia,Magnolia,tripetala,NA,NA,2.67,5.34,1.92
660,MALUS,apple spp.,Malus,spp.,NA,NA,3.49,6.98,1.77
661,MAFU,Oregon crab apple,Malus,fusca,NA,NA,3.49,6.98,1.77
662,MAAN3,southern crab apple,Malus,angustifolia,NA,NA,3.49,6.98,1.77
663,MACO5,sweet crab apple,Malus,coronaria,NA,NA,3.49,6.98,1.77
664,MAIO,prairie crab apple,Malus,ioensis,NA,NA,3.49,6.98,1.77
680,MORUS,mulberry spp.,Morus,spp.,NA,NA,2.96,5.92,1.76
681,MOAL,white mulberry,Morus,alba,NA,NA,2.96,5.92,1.76
682,MORU2,red mulberry,Morus,rubra,NA,NA,2.96,5.92,1.76
683,MOMI,Texas mulberry,Morus,microphylla,NA,NA,2.96,5.92,1.76
684,MONI,black mulberry,Morus,nigra,NA,NA,2.96,5.92,1.76
690,NYSSA,tupelo spp.,Nyssa,spp.,NA,NA,2.88,5.76,1.95
691,NYAQ2,water tupelo,Nyssa,aquatica,NA,NA,2.85,5.7,1.93
692,NYOG,Ogeechee tupelo,Nyssa,ogeche,NA,NA,2.88,5.76,1.95
693,NYSY,blackgum,Nyssa,sylvatica,NA,NA,2.91,5.82,1.97
694,NYBI,swamp tupelo,Nyssa,biflora,NA,NA,2.88,5.76,1.95
701,OSVI,eastern hophornbeam,Ostrya,virginiana,NA,NA,3.2,6.4,1.57
711,OXAR,sourwood,Oxydendrum,arboreum,NA,NA,2.72,5.44,1.68
712,PATO2,"paulownia, empress-tree",Paulownia,tomentosa,NA,NA,2.96,5.92,1.76
715,MAPA28,Maytenus palauica,Maytenus,palauica,NA,NA,2.11,4.22,1.76
718,OSTR,kesiamel,Osmoxylon,truncatum,NA,NA,1.04,2.08,1.76
720,PERSE,bay spp.,Persea,spp.,NA,NA,2.96,5.92,1.76
721,PEBO,redbay,Persea,borbonia,NA,NA,2.96,5.92,1.76
722,PLAQ,"water-elm, planertree",Planera,aquatica,NA,NA,2.96,5.92,1.76
729,PLATA,sycamore spp.,Platanus,spp.,NA,NA,2.53,5.06,1.81
730,PLRA,California sycamore,Platanus,racemosa,NA,NA,2.53,5.06,1.81
731,PLOC,American sycamore,Platanus,occidentalis,NA,NA,2.53,5.06,1.81
732,PLWR2,Arizona sycamore,Platanus,wrightii,NA,NA,2.53,5.06,1.81
740,POPUL,cottonwood and poplar spp.,Populus,spp.,NA,NA,2.37,4.74,2.03
741,POBA2,balsam poplar,Populus,balsamifera,NA,NA,2.16,4.32,2.01
742,PODE3,eastern cottonwood,Populus,deltoides,NA,NA,2.61,5.22,2.05
743,POGR4,bigtooth aspen,Populus,grandidentata,NA,NA,2.21,4.42,1.91
744,POHE4,swamp cottonwood,Populus,heterophylla,NA,NA,2.37,4.74,2.03
745,PODEM,plains cottonwood,Populus,deltoides,NA,monilifera,2.37,4.74,2.03
746,POTR5,quaking aspen,Populus,tremuloides,NA,NA,2.54,5.08,2.24
747,POBAT,black cottonwood,Populus,balsamifera,NA,trichocarpa,2.36,4.72,2.31
748,POFR2,Fremont cottonwood,Populus,fremontii,NA,NA,2.29,4.58,1.63
749,POAN3,narrowleaf cottonwood,Populus,angustifolia,NA,NA,2.37,4.74,2.03
752,POAL7,silver poplar,Populus,alba,NA,NA,2.37,4.74,2.03
753,PONI,Lombardy poplar,Populus,nigra,NA,NA,2.37,4.74,2.03
755,PROSO,mesquite spp.,Prosopis,spp.,NA,NA,3.12,6.24,1.23
756,PRGL2,honey mesquite,Prosopis,glandulosa,NA,NA,3.11,6.22,1.23
757,PRVE,velvet mesquite,Prosopis,velutina,NA,NA,3.11,6.22,1.23
758,PRPU,screwbean mesquite,Prosopis,pubescens,NA,NA,3.11,6.22,1.23
760,PRUNU,cherry and plum spp.,Prunus,spp.,NA,NA,2.25,4.5,1.57
761,PRPE2,pin cherry,Prunus,pensylvanica,NA,NA,2.25,4.5,1.57
762,PRSE2,black cherry,Prunus,serotina,NA,NA,2.26,4.52,1.58
763,PRVI,chokecherry,Prunus,virginiana,NA,NA,2.25,4.5,1.57
764,PRPE3,peach,Prunus,persica,NA,NA,2.25,4.5,1.57
765,PRNI,Canada plum,Prunus,nigra,NA,NA,2.25,4.5,1.57
766,PRAM,American plum,Prunus,americana,NA,NA,2.25,4.5,1.57
768,PREM,bitter cherry,Prunus,emarginata,NA,NA,2.25,4.5,1.57
769,PRAL5,Allegheny plum,Prunus,alleghaniensis,NA,NA,2.25,4.5,1.57
770,PRAN3,Chickasaw plum,Prunus,angustifolia,NA,NA,2.25,4.5,1.57
771,PRAV,sweet cherry,Prunus,avium,NA,NA,2.25,4.5,1.57
772,PRCE,sour cherry,Prunus,cerasus,NA,NA,2.25,4.5,1.57
773,PRDO,European plum,Prunus,domestica,NA,NA,2.25,4.5,1.57
774,PRMA,Mahaleb cherry,Prunus,mahaleb,NA,NA,2.25,4.5,1.57
800,QUERC,oak spp.,Quercus,spp.,NA,NA,3.48,6.96,1.76
