SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,CORDS_TO_GREEN_TONS,MBF_TO_GREEN_TONS,DRYWT_TO_GREENWT_CONVERSION
8423,PYCO,common pear,Pyrus,communis,NA,NA,1.82,3.64,1.76
8424,QUSU5,cork oak,Quercus,suber,NA,NA,2.16,4.32,1.76
8425,RAAC,white indigoberry,Randia,aculeata,NA,NA,2.96,5.92,1.76
8430,RAMY,togo vao,Rapanea,myricifolia,NA,NA,1.81,3.62,1.76
8431,RAVO,poison devils-pepper,Rauvolfia,vomitoria,NA,NA,1.3,2.6,1.76
8432,RAIN8,omechidel,Rauvolfia,insularis,NA,NA,1.3,2.6,1.76
8433,RANI2,palo amargo,Rauvolfia,nitida,NA,NA,2.96,5.92,1.76
8434,RASA3,devils-pepper,Rauvolfia,sandwicensis,NA,NA,1.3,2.6,1.76
8435,RAUVO,devils-pepper,Rauvolfia,spp.,NA,NA,1.3,2.6,1.76
8436,RAMA7,traveler's tree,Ravenala,madagascariensis,NA,NA,2.96,5.92,1.76
8438,QUFU,Texas live oak,Quercus,fusiformis,NA,NA,2.01,4.02,1.76
8439,RAUR,tortugo prieto,Ravenia,urbanii,NA,NA,2.96,5.92,1.76
8440,RELA,vi vao,Reynoldsia,lanutoensis,NA,NA,1.15,2.3,1.76
8441,QUGE2,sand live oak,Quercus,geminata,NA,NA,1.66,3.32,2
8442,RESA,ohe makai,Reynoldsia,sandwicensis,NA,NA,1.15,2.3,1.76
8443,REYNO,reynoldsia,Reynoldsia,spp.,NA,NA,1.15,2.3,1.76
8444,REGU,guama,Reynosia,guama,NA,NA,2.96,5.92,1.76
8445,REKR,Krug's darlingplum,Reynosia,krugii,NA,NA,2.96,5.92,1.76
8447,REUN,sloe,Reynosia,uncinata,NA,NA,2.96,5.92,1.76
8449,QUHE2,Darlington oak,Quercus,hemisphaerica,NA,NA,3.62,7.24,2
8456,RHED4,Rheeda,Rheedia,edulis,NA,NA,1.8,3.6,1.76
8458,RHAP2,mangle,Rhizophora,apiculata,NA,NA,2.35,4.7,1.76
8460,RHLA12,Rhizophora lamarckii,Rhizophora,lamarckii,NA,NA,2.39,4.78,1.76
8462,RHMU,mangle hembra,Rhizophora,mucronata,NA,NA,2.16,4.32,1.76
8463,RHIZO,mangrove,Rhizophora,spp.,NA,NA,2.39,4.78,1.76
8464,RHST8,Rhizophora stylosa,Rhizophora,stylosa,NA,NA,2.36,4.72,1.76
8465,RHODO2,rose myrtle,Rhodomyrtus,spp.,NA,NA,2.19,4.38,1.76
8466,RHTO10,Rhodomyrtus tomentosus,Rhodomyrtus,tomentosa,NA,NA,2.19,4.38,1.76
8467,RHSA2,neneleau,Rhus,sandwicensis,NA,NA,1.31,2.62,1.76
8468,RHUS,sumac,Rhus,spp.,NA,NA,1.31,2.62,1.76
8469,RHTA,tavai,Rhus,taitensis,NA,NA,1.04,2.08,1.76
8472,RICO3,castorbean,Ricinus,communis,NA,NA,2.96,5.92,1.76
8473,RICIN,ricinus,Ricinus,spp.,NA,NA,1.35,2.7,1.76
8474,RICA16,Rinorea carolinensis,Rinorea,carolinensis,NA,NA,1.85,3.7,1.76
8476,ROAC2,greenheart ebony,Rochefortia,acanthophora,NA,NA,2.96,5.92,1.76
8478,ROSP8,Rochefortia spinosa,Rochefortia,spinosa,NA,NA,2.96,5.92,1.76
8479,RHLA3,prairie sumac,Rhus,lanceolata,NA,NA,1.39,2.78,1.76
8480,RODE5,Rollinia,Rollinia,deliciosa,NA,NA,0.9,1.8,1.76
8481,ROMU3,wild sugar apple,Rollinia,mucosa,NA,NA,2.96,5.92,1.76
8483,ROIN4,cordobancillo,Rondeletia,inermis,NA,NA,2.96,5.92,1.76
8484,ROPI3,cordobancillo peludo,Rondeletia,pilosa,NA,NA,2.96,5.92,1.76
8485,ROPO,Juan Tomas,Rondeletia,portoricensis,NA,NA,2.96,5.92,1.76
8489,ROBO,Puerto Rico royal palm,Roystonea,borinquena,NA,NA,2.96,5.92,1.76
8490,ROEL,Roystonea elata,Roystonea,elata,NA,NA,2.96,5.92,1.76
8491,ROOL,royal palm,Roystonea,oleracea,NA,NA,1.35,2.7,1.76
8494,SACA,Puerto Rico palmetto,Sabal,causiarum,NA,NA,2.96,5.92,1.76
8499,SAUM3,white hogwood,Sagraea,umbrosa,NA,NA,2.96,5.92,1.76
8501,SAHU,Salix humboldtiana,Salix,humboldtiana,NA,NA,2.96,5.92,1.76
8502,SADI,pussy willow,Salix,discolor,NA,NA,2.62,5.24,2
